Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Spencer Dinwiddie,30.6,BKN,Combo,759,74,23.9%,49,110.8,88,28.3%,77,1.18,70,10.1%
Keldon Johnson,23.9,SAS,Forward,788,75,20.9%,47,115.3,88,19.1%,89,0.92,65,9.6%
Jusuf Nurkic,29.2,PHX,Big,735,82,20.9%,20,108.5,88,18.7%,86,0.89,43,14.5%
Caris LeVert,29.2,CLE,Wing,568,86,23.7%,13,103.6,87,16.7%,59,0.70,84,8.6%
Naji Marshall,25.8,NOP,Wing,345,57,17.1%,85,128.1,87,16.7%,90,0.97,13,15.1%
Kevin Love,35.1,MIA,Big,380,79,20.3%,47,119.3,87,17.9%,85,0.88,94,8.0%
Franz Wagner,22.2,ORL,Forward,832,89,25.6%,29,109.3,86,18.6%,76,0.73,74,8.9%
Jaylen Brown,27.0,BOS,Wing,812,95,27.9%,46,113.0,86,16.4%,28,0.59,57,11.0%
Delon Wright,31.5,WAS,Combo,140,30,17.0%,37,108.1,86,28.0%,96,1.65,100,5.5%
Fred VanVleet,29.7,HOU,Point,833,40,23.2%,37,108.7,86,32.4%,80,1.40,86,8.2%
Trendon Watford,23.0,BKN,Big,235,78,20.3%,43,117.2,86,17.8%,83,0.88,31,16.4%
Jalen Green,21.7,HOU,Wing,707,94,27.1%,28,108.8,85,16.3%,37,0.60,47,12.1%
Jayson Tatum,25.7,BOS,Forward,912,97,30.3%,79,122.6,85,17.8%,53,0.59,26,12.1%
Kevon Looney,27.7,GSW,Big,573,11,11.4%,44,117.4,85,17.3%,98,1.52,48,13.5%
Talen Horton-Tucker,22.9,UTA,Combo,571,79,25.5%,19,100.7,84,27.6%,68,1.08,32,14.1%
Precious Achiuwa,24.1,TOR,Big,337,80,20.6%,17,107.9,84,16.4%,71,0.80,35,16.1%
Brandin Podziemski,20.7,GSW,Wing,426,61,17.3%,38,110.9,84,16.2%,89,0.94,19,14.5%
Paul George,33.5,LAC,Forward,838,92,26.6%,65,119.4,83,17.6%,63,0.66,46,10.8%
Shai Gilgeous-Alexander,25.3,OKC,Point,804,89,34.1%,94,127.8,83,30.6%,20,0.90,91,7.3%
Kawhi Leonard,32.3,LAC,Big,865,88,24.8%,67,126.8,83,16.3%,51,0.66,95,7.5%
Andrew Nembhard,23.8,IND,Combo,304,63,21.8%,12,98.3,82,27.5%,84,1.26,37,13.1%
Kevin Huerter,25.2,SAC,Wing,596,59,17.2%,34,110.3,82,15.8%,87,0.92,94,7.1%
Mikal Bridges,27.2,BKN,Forward,872,88,25.3%,64,119.2,82,16.4%,61,0.65,31,12.0%
Nikola Vucevic,33.0,CHI,Big,929,86,22.0%,8,101.6,82,16.0%,67,0.73,78,10.2%
Devin Vassell,23.2,SAS,Wing,588,84,22.4%,71,120.1,81,15.7%,58,0.70,78,8.8%
Orlando Robinson,23.3,MIA,Big,205,51,16.2%,55,122.2,81,16.0%,88,0.99,26,17.1%
Dennis Smith Jr.,25.9,BKN,Combo,220,58,21.3%,14,100.0,81,26.1%,82,1.23,58,11.1%
Josh Hart,28.7,NYK,Forward,681,18,12.0%,40,113.6,81,13.7%,97,1.13,57,10.3%
Dennis Schroder,30.1,TOR,Point,797,43,23.6%,34,108.4,80,29.5%,71,1.25,71,9.8%
Dario Saric,29.6,GSW,Big,548,71,19.3%,51,120.5,80,15.4%,73,0.80,50,13.1%
Jalen Williams,22.5,OKC,Wing,679,82,22.3%,61,117.2,80,15.7%,61,0.70,62,10.5%
Bojan Bogdanovic,34.5,DET,Forward,212,82,24.6%,88,127.4,79,13.4%,43,0.55,43,10.9%
Desmond Bane,25.4,MEM,Combo,795,93,29.9%,72,118.8,79,25.6%,30,0.85,49,12.2%
Aaron Gordon,28.1,DEN,Big,745,64,18.4%,13,106.8,79,14.8%,74,0.80,71,11.0%
Zach LaVine,28.6,CHI,Wing,635,90,26.2%,51,113.9,78,15.6%,33,0.60,73,9.4%
Karl-Anthony Towns,28.0,MIN,Big,794,89,25.1%,71,127.6,78,14.4%,43,0.57,42,14.7%
Cameron Johnson,27.7,BKN,Forward,521,69,18.8%,50,116.2,78,13.2%,72,0.71,69,9.1%
Duncan Robinson,29.5,MIA,Wing,711,70,18.4%,82,127.4,77,15.4%,72,0.83,61,10.5%
Craig Porter,23.7,CLE,Combo,202,77,25.0%,61,115.7,77,25.2%,54,1.01,51,11.8%
D'Angelo Russell,27.7,LAL,Point,748,49,24.8%,57,116.8,77,29.4%,63,1.18,57,10.9%
Victor Wembanyama,19.8,SAS,Big,723,93,27.5%,12,106.1,77,14.2%,35,0.51,27,16.8%
Cedi Osman,28.6,SAS,Forward,479,51,16.2%,63,119.2,76,13.2%,83,0.82,78,8.6%
Kenrich Williams,28.9,OKC,Big,203,28,13.8%,21,109.8,76,13.8%,89,1.00,99,4.8%
De'Anthony Melton,25.4,PHI,Wing,727,68,18.3%,20,108.3,76,15.1%,70,0.83,72,9.5%
Cory Joseph,32.2,GSW,Combo,111,25,15.8%,0,75.9,75,24.7%,95,1.57,51,11.8%
Charles Bassey,23.0,SAS,Big,182,8,10.8%,96,147.1,75,13.6%,95,1.26,0,28.9%
Ausar Thompson,20.8,DET,Forward,681,64,17.5%,13,101.6,75,12.7%,78,0.73,8,15.0%
